Qatar,,763,6 228,3 276,5 091
Reunion,,485,1 771,2 694,3 174
Romania,,19 279,72 411,80 277,64 715
Russian Federation,,,872 466,1 151 040,664 495
Rwanda,,1 334,2 826,6 125,5 605
Saudi Arabia,,8 610,73 601,144 438,170 972
Senegal,,3 341,6 217,10 032,12 659
Serbia–Montenegro,,,,51 266,28 722
Seychelles,,63,187,366,471
Sierra Leone,,1 370,3 180,4 335,2 837
Singapore,413,2 268,13 108,43 330,79 025
Slovenia,,,,21 624,23 625
Somalia,,2 576,4 625,7 231,6 044
South Africa,9 857,34 465,102 498,147 509,165 239
South Koreab,14 343,16 045,96 794,373 150,564 211
Spain,45 686,66 792,304 220,474 366,560 138
Sri Lanka,4 094,7 241,19 759,42 089,63 408
St. Kitts Nevis,,61,215,233,345
St. Lucia,,61,199,449,508
St. Vincent,,79,175,392,506
Sudan,,6 609,11 783,19 793,29 535
Suriname,,315,1 046,1 094,1 209
Swaziland,,200,1 114,2 154,2 699
Sweden,17 403,47 269,109 794,151 451,165 385
Switzerland,16 483,42 545,117 251,146 900,152 345
Syria,,8 418,27 846,70 894,96 112
Taiwan,2 591,7 378,63 519,200 477,326 958
Tajikistan,,,13 279,15 884,5 073
Tanzania,,3 362,9 007,13 852,16 933
Thailand,7 251,16 375,75 511,255 732,372 509
Togo,,673,2 245,2 805,3 159
Trinidad & Tobago,,2 322,8 553,11 110,13 683
Tunisia,,3 920,12 051,27 387,39 306
Turkey,,38 408,144 483,305 395,423 018
Turkmenistan,,,11 483,13 300,8 335
UAE,,1 130,9 739,25 496,31 913
Uganda,,3 793,8 704,10 206,16 082
Ukraine,,,238 156,311 112,127 151
United Kingdom,224 618,347 850,675 941,944 610,1 108 568
United States,517 383,1 455 916,3 536 622,5 803 200,7 394 598
Uruguay,3 895,10 224,14 098,20 105,27 313
Uzbekistan,,,67 012,87 468,79 272
Venezuela,3 172,37 377,126 364,160 648,204 433
Vietnam,14 062,16 681,38 238,68 959,127 851
West Bank + Gaza,,965,2 455,7 222,14 807
Yemen,,4 353,12 431,28 212,37 656
Zaire,,6 750,16 915,17 394,10 790
Zambia,,1 687,4 930,6 432,6 374
Zimbabwe,,2 000,8 594,13 766,15 990
b) Slovakia,,,,40 854,41 818
