Sex,Team,Year,Medal
M,Germany,Before 1913,Silver
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Gold
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Gold
F,Germany,,Gold
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Gold
F,Germany,1950-1972,Bronze
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Silver
M,Germany,1990-1998,Gold
F,Germany,,Bronze
F,Germany,,Gold
F,Germany,1990-1998,Gold
M,Germany,1913-1949,Silver
M,Germany,,Bronze
M,Germany,1990-1998,Silver
F,Germany,1990-1998,Silver
M,Germany,,Silver
F,Germany,1950-1972,Silver
M,Germany,,Silver
F,Germany,1990-1998,Bronze
M,Germany,Before 1913,Gold
M,Germany,,Bronze
M,Germany,1913-1949,Gold
F,Germany,1990-1998,Silver
F,Germany,,Bronze
F,Germany,,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Bronze
M,Germany,,Bronze
F,Germany,,Bronze
M,Germany,1950-1972,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
F,Germany,1913-1949,Gold
F,Germany,,Bronze
M,Germany,,Gold
F,Germany,1913-1949,Silver
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Gold
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
F,Germany,,Gold
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Gold
M,Germany,1950-1972,Bronze
M,Germany,Before 1913,Bronze
M,Germany,1990-1998,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
M,Germany,1913-1949,Bronze
M,Germany,,Silver
M,Germany,1990-1998,Gold
F,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,1913-1949,Silver
M,Germany,1990-1998,Bronze
M,Germany,,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Silver
F,Germany,1913-1949,Gold
F,Germany,1950-1972,Silver
M,Germany,1950-1972,Bronze
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,Before 1913,Bronze
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Silver
F,Germany,,Gold
F,Germany,,Bronze
M,Germany,1950-1972,Gold
F,Germany,1990-1998,Gold
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Gold
M,Germany,,Bronze
M,Germany,1990-1998,Silver
F,Germany,,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,1913-1949,Gold
F,Germany,,Gold
M,Germany,1950-1972,Silver
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,1990-1998,Gold
F,Germany,Before 1913,Silver
M,Germany,,Gold
M,Germany,,Gold
F,Germany,1990-1998,Gold
M,Germany,1950-1972,Gold
F,Germany,1990-1998,Silver
M,Germany,1950-1972,Silver
F,Germany,,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
F,Germany,1950-1972,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Silver
F,Germany,,Silver
M,Germany,1950-1972,Silver
M,Germany,1913-1949,Bronze
M,Germany,1990-1998,Gold
M,Germany,,Silver
M,Germany,1990-1998,Bronze
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Gold
M,Germany,,Bronze
M,Germany,,Silver
F,Germany,,Gold
M,Germany,Before 1913,Gold
M,Germany,1950-1972,Bronze
F,Germany,,Gold
F,Germany,1990-1998,Bronze
M,Germany,,Gold
M,Germany,1913-1949,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,1913-1949,Bronze
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Bronze
M,Germany,,Gold
M,Germany,1913-1949,Bronze
M,Germany,1950-1972,Bronze
F,Germany,Before 1913,Silver
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Bronze
F,Germany,1990-1998,Gold
M,Germany,1950-1972,Silver
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Silver
M,Germany,,Gold
F,Germany,1990-1998,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
M,Germany,1913-1949,Silver
F,Germany,1990-1998,Bronze
M,Germany,1990-1998,Silver
M,Germany,,Bronze
M,Germany,1950-1972,Gold
F,Germany,1990-1998,Bronze
M,Germany,1913-1949,Gold
M,Germany,,Bronze
M,Germany,,Silver
F,Germany,1990-1998,Gold
F,Germany,,Bronze
F,Germany,,Gold
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,1990-1998,Bronze
F,Germany,,Silver
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Silver
F,Germany,,Gold
M,Germany,1990-1998,Gold
F,Germany,,Bronze
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Gold
F,Germany,1950-1972,Bronze
F,Germany,1950-1972,Silver
M,Germany,,Gold
M,Germany,,Silver
M,Germany,1950-1972,Bronze
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Gold
M,Germany,,Silver
M,Germany,1913-1949,Bronze
M,Germany,,Bronze
M,Germany,1990-1998,Gold
M,Germany,,Gold
F,Germany,,Bronze
F,Germany,1990-1998,Bronze
M,Germany,,Silver
M,Germany,,Silver
F,Germany,1990-1998,Bronze
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Gold
M,Germany,Before 1913,Silver
F,Germany,,Bronze
M,Germany,1913-1949,Silver
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Gold
F,Germany,1950-1972,Gold
F,Germany,1950-1972,Bronze
M,Germany,,Bronze
M,Germany,1913-1949,Gold
F,Germany,,Gold
M,Germany,1913-1949,Bronze
M,Germany,,Gold
F,Germany,1950-1972,Bronze
F,Germany,1913-1949,Bronze
M,Germany,,Gold
M,Germany,,Silver
F,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,1990-1998,Gold
F,Germany,1913-1949,Gold
M,Germany,1990-1998,Silver
M,Germany,,Gold
M,Germany,,Silver
F,Germany,1913-1949,Silver
F,Germany,,Silver
F,Germany,,Gold
M,Germany,1913-1949,Silver
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Bronze
M,Germany,Before 1913,Bronze
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
F,Germany,1990-1998,Silver
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
F,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
F,Germany,1913-1949,Gold
M,Germany,1990-1998,Gold
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Gold
F,Germany,,Bronze
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Gold
M,Germany,1913-1949,Bronze
F,Germany,1990-1998,Gold
F,Germany,,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
F,Germany,,Gold
M,Germany,1990-1998,Silver
M,Germany,,Bronze
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Silver
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Silver
M,Germany,,Gold
M,Germany,,Gold
M,Germany,1990-1998,Gold
M,Germany,,Silver
M,Germany,,Gold
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,,Silver
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Silver
M,Germany,1913-1949,Silver
M,Germany,,Silver
F,Germany,,Bronze
M,Germany,,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1913-1949,Silver
M,Germany,,Silver
F,Germany,,Silver
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1950-1972,Silver
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Bronze
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Gold
M,Germany,,Silver
M,Germany,1990-1998,Gold
M,Germany,,Silver
M,Germany,1990-1998,Bronze
F,Germany,,Silver
M,Germany,1913-1949,Bronze
F,Germany,1990-1998,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Silver
F,Germany,,Gold
F,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1990-1998,Gold
F,Germany,,Bronze
F,Germany,1913-1949,Gold
F,Germany,,Silver
M,Germany,1913-1949,Gold
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,1913-1949,Gold
F,Germany,1990-1998,Gold
M,Germany,,Bronze
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Gold
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Bronze
M,Germany,1990-1998,Bronze
F,Germany,,Bronze
F,Germany,,Gold
F,Germany,,Silver
M,Germany,1913-1949,Gold
F,Germany,,Bronze
M,Germany,1950-1972,Silver
M,Germany,1913-1949,Gold
F,Germany,,Bronze
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Gold
F,Germany,,Bronze
F,Germany,,Bronze
F,Germany,,Gold
F,Germany,,Gold
M,Germany,1913-1949,Gold
F,Germany,1950-1972,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,1950-1972,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
F,Germany,1990-1998,Bronze
M,Germany,,Silver
F,Germany,1913-1949,Silver
M,Germany,1990-1998,Gold
F,Germany,Before 1913,Silver
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Gold
F,Germany,,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Silver
M,Germany,1913-1949,Bronze
M,Germany,,Silver
M,Germany,1913-1949,Silver
M,Germany,,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Bronze
F,Germany,1990-1998,Bronze
M,Germany,1913-1949,Gold
M,Germany,1950-1972,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Silver
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Gold
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Silver
M,Germany,,Silver
M,Germany,,Silver
M,Germany,1913-1949,Gold
M,Germany,1990-1998,Bronze
F,Germany,,Silver
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,,Silver
M,Germany,,Silver
F,Germany,1950-1972,Bronze
F,Germany,,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,1913-1949,Gold
M,Germany,,Bronze
M,Germany,,Bronze
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Gold
F,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1990-1998,Silver
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
F,Germany,,Silver
F,Germany,,Silver
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Silver
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Bronze
M,Germany,1913-1949,Silver
F,Germany,1990-1998,Silver
M,Germany,,Gold
M,Germany,,Gold
F,Germany,1990-1998,Gold
M,Germany,1913-1949,Silver
M,Germany,1990-1998,Bronze
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,Before 1913,Silver
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,,Bronze
M,Germany,,Silver
M,Germany,1950-1972,Bronze
M,Germany,,Gold
M,Germany,,Silver
M,Germany,1950-1972,Bronze
M,Germany,,Gold
M,Germany,,Silver
M,Germany,,Silver
M,Germany,,Silver
M,Germany,1990-1998,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Bronze
F,Germany,,Silver
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Gold
M,Germany,1950-1972,Bronze
M,Germany,1990-1998,Silver
F,Germany,1950-1972,Silver
F,Germany,1990-1998,Silver
M,Germany,,Bronze
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Silver
F,Germany,,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
M,Germany,1913-1949,Gold
M,Germany,,Gold
F,Germany,,Bronze
M,Germany,1990-1998,Silver
F,Germany,,Silver
M,Germany,1950-1972,Bronze
F,Germany,,Gold
F,Germany,,Gold
F,Germany,,Bronze
F,Germany,,Gold
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Bronze
F,Germany,,Bronze
F,Germany,,Silver
F,Germany,,Silver
F,Germany,,Gold
F,Germany,1990-1998,Bronze
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,,Bronze
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Bronze
M,Germany,1990-1998,Gold
M,Germany,1913-1949,Gold
M,Germany,,Silver
M,Germany,Before 1913,Bronze
M,Germany,1990-1998,Silver
M,Germany,Before 1913,Bronze
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Silver
M,Germany,Before 1913,Bronze
M,Germany,Before 1913,Silver
M,Germany,1913-1949,Gold
M,Germany,Before 1913,Silver
M,Germany,Before 1913,Silver
F,Germany,1950-1972,Bronze
M,Germany,1913-1949,Gold
M,Germany,Before 1913,Bronze
M,Germany,Before 1913,Silver
M,Germany,Before 1913,Silver
M,Germany,Before 1913,Silver
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Gold
M,Germany,Before 1913,Bronze
M,Germany,,Silver
M,Germany,1913-1949,Bronze
M,Germany,Before 1913,Gold
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Silver
M,Germany,1990-1998,Gold
F,Germany,,Gold
F,Germany,,Gold
F,Germany,,Gold
F,Germany,,Bronze
F,Germany,,Gold
F,Germany,,Silver
F,Germany,1990-1998,Silver
F,Germany,,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1950-1972,Bronze
F,Germany,,Silver
M,Germany,1950-1972,Silver
F,Germany,1990-1998,Silver
F,Germany,,Gold
M,Germany,1950-1972,Bronze
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Bronze
M,Germany,1990-1998,Gold
M,Germany,,Silver
M,Germany,,Gold
M,Germany,1990-1998,Bronze
M,Germany,1913-1949,Silver
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
F,Germany,,Gold
M,Germany,,Bronze
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Silver
F,Germany,,Silver
M,Germany,1990-1998,Silver
M,Germany,1950-1972,Bronze
M,Germany,Before 1913,Silver
M,Germany,Before 1913,Bronze
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Bronze
F,Germany,,Bronze
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,1950-1972,Bronze
M,Germany,1990-1998,Bronze
M,Germany,Before 1913,Bronze
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Silver
M,Germany,Before 1913,Silver
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,Before 1913,Bronze
F,Germany,1990-1998,Silver
M,Germany,1913-1949,Silver
F,Germany,1950-1972,Bronze
M,Germany,1913-1949,Silver
F,Germany,1950-1972,Bronze
M,Germany,1990-1998,Gold
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Silver
M,Germany,,Silver
M,Germany,,Gold
M,Germany,,Silver
F,Germany,,Gold
F,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Gold
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Bronze
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Silver
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Gold
F,Germany,1990-1998,Gold
F,Germany,,Silver
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Silver
F,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1913-1949,Gold
F,Germany,1950-1972,Silver
M,Germany,,Bronze
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Silver
F,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Silver
F,Germany,1990-1998,Silver
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Gold
F,Germany,,Gold
F,Germany,,Silver
F,Germany,,Silver
F,Germany,,Bronze
M,Germany,,Gold
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,,Bronze
F,Germany,,Bronze
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
M,Germany,1913-1949,Gold
M,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Gold
M,Germany,1913-1949,Gold
M,Germany,1990-1998,Gold
F,Germany,,Silver
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,1913-1949,Bronze
F,Germany,1990-1998,Silver
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Silver
M,Germany,1913-1949,Bronze
F,Germany,,Bronze
F,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,,Silver
F,Germany,1990-1998,Gold
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Gold
M,Germany,,Silver
M,Germany,,Silver
M,Germany,Before 1913,Bronze
M,Germany,Before 1913,Gold
M,Germany,1950-1972,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Silver
M,Germany,1950-1972,Bronze
M,Germany,1950-1972,Silver
M,Germany,1990-1998,Silver
F,Germany,1990-1998,Bronze
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,,Gold
F,Germany,,Silver
M,Germany,,Gold
M,Germany,,Gold
F,Germany,1990-1998,Gold
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Silver
M,Germany,,Silver
M,Germany,1950-1972,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1950-1972,Bronze
M,Germany,1913-1949,Silver
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
F,Germany,1950-1972,Gold
M,Germany,1990-1998,Gold
M,Germany,Before 1913,Gold
M,Germany,Before 1913,Silver
F,Germany,,Gold
M,Germany,,Bronze
M,Germany,,Bronze
M,Germany,,Gold
M,Germany,1913-1949,Gold
M,Germany,1950-1972,Silver
M,Germany,1950-1972,Silver
M,Germany,,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,1950-1972,Gold
F,Germany,1950-1972,Gold
M,Germany,,Silver
M,Germany,,Bronze
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Bronze
M,Germany,,Silver
F,Germany,1913-1949,Gold
M,Germany,1990-1998,Bronze
F,Germany,,Silver
M,Germany,,Gold
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
F,Germany,1950-1972,Silver
F,Germany,1950-1972,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Silver
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Silver
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Silver
M,Germany,1990-1998,Bronze
M,Germany,,Gold
M,Germany,1990-1998,Silver
F,Germany,,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1990-1998,Silver
M,Germany,1950-1972,Gold
M,Germany,1950-1972,Gold
F,Germany,,Silver
F,Germany,,Gold
M,Germany,,Gold
M,Germany,,Silver
M,Germany,,Gold
M,Germany,,Silver
F,Germany,,Bronze
F,Germany,,Bronze
F,Germany,,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Bronze
M,Germany,,Bronze
M,Germany,,Bronze
F,Germany,,Gold
M,Germany,,Gold
F,Germany,1990-1998,Bronze
M,Germany,,Silver
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Bronze
M,Germany,,Gold
M,Germany,,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Bronze
M,Germany,,Gold
F,Germany,,Bronze
M,Germany,,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
F,Germany,,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
M,Germany,1990-1998,Gold
M,Germany,1913-1949,Bronze
M,Germany,1913-1949,Bronze
M,Germany,,Gold
M,Germany,,Gold
M,Germany,,Gold
M,Germany,1990-1998,Bronze
M,Germany,1990-1998,Gold
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,1990-1998,Silver
M,Germany,1913-1949,Bronze
M,Germany,,Gold
M,Germany,,Bronze
M,Germany,1990-1998,Silver
M,Germany,1990-1998,Gold
M,Germany,1990-1998,Gold
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1950-1972,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1950-1972,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Ghana,1950-1972,Silver
M,Ghana,1990-1998,Bronze
M,Ghana,1990-1998,Bronze
M,Great Britain,1972-1989,Bronze
M,Great Britain,1913-1949,Gold
M,Great Britain,1913-1949,Silver
M,Great Britain,1972-1989,Silver
M,Great Britain,1972-1989,Silver
F,Great Britain,,Gold
F,Great Britain,,Gold
F,Great Britain,,Bronze
M,Great Britain,1913-1949,Silver
F,Great Britain,,Gold
F,Great Britain,,Gold
F,Great Britain,,Bronze
F,Great Britain,,Bronze
M,Great Britain,Before 1913,Gold
M,Great Britain,1990-1998,Silver
M,Great Britain,,Gold
M,Great Britain,,Gold
M,Great Britain,,Gold
M,Great Britain,,Gold
M,Great Britain,1913-1949,Gold
M,Great Britain,1950-1972,Bronze
M,Great Britain,1972-1989,Silver
M,Great Britain,1990-1998,Bronze
M,Great Britain,1990-1998,Bronze
M,Great Britain,1913-1949,Silver
M,Great Britain,1913-1949,Silver
M,Great Britain,1913-1949,Silver
M,Great Britain,Before 1913,Silver
M,Great Britain,1950-1972,Silver
M,Great Britain,1972-1989,Bronze
M,Great Britain,1972-1989,Bronze
M,Great Britain,1972-1989,Silver
F,Great Britain,,Bronze
M,Great Britain,1950-1972,Silver
M,Great Britain,1950-1972,Gold
F,Great Britain,1913-1949,Bronze
F,Great Britain,1950-1972,Gold
M,Great Britain,Before 1913,Gold
M,Great Britain,Before 1913,Bronze
M,Great Britain,Before 1913,Silver
M,Great Britain,1950-1972,Bronze
M,Great Britain,1913-1949,Bronze
M,Great Britain,,Silver
M,Great Britain,1913-1949,Bronze
F,Great Britain,,Gold
M,Great Britain,Before 1913,Bronze
M,Great Britain,Before 1913,Gold
M,Great Britain,1913-1949,Silver
M,Great Britain,1913-1949,Gold
F,Great Britain,,Gold
F,Great Britain,1950-1972,Bronze
F,Great Britain,1950-1972,Bronze
F,Great Britain,1950-1972,Silver
F,Great Britain,,Silver
F,Great Britain,1913-1949,Silver
M,Great Britain,Before 1913,Bronze
F,Great Britain,,Bronze
M,Great Britain,1972-1989,Bronze
M,Great Britain,Before 1913,Bronze
M,Great Britain,1913-1949,Gold
F,Great Britain,1990-1998,Bronze
M,Great Britain,,Gold
M,Great Britain,1990-1998,Bronze
F,Great Britain,,Gold
F,Great Britain,,Gold
M,Great Britain,1990-1998,Bronze
M,Great Britain,1990-1998,Silver
M,Great Britain,,Silver
M,Great Britain,Before 1913,Gold
M,Great Britain,1913-1949,Silver
M,Great Britain,1913-1949,Gold
M,Great Britain,Before 1913,Gold
M,Great Britain,1950-1972,Bronze
M,Great Britain,1972-1989,Silver
M,Great Britain,1913-1949,Silver
F,Great Britain,,Bronze
M,Great Britain,1972-1989,Bronze
M,Great Britain,1913-1949,Silver
M,Great Britain,1972-1989,Bronze
M,Great Britain,1972-1989,Gold
F,Great Britain,,Gold
F,Great Britain,1913-1949,Silver
M,Great Britain,,Silver
M,Great Britain,Before 1913,Bronze
M,Great Britain,1913-1949,Silver
M,Great Britain,1913-1949,Gold
M,Great Britain,1913-1949,Bronze
M,Great Britain,Before 1913,Bronze
M,Great Britain,1950-1972,Silver
