Sex,Team,Year,Medal
M,Argentina,,Bronze
M,Argentina,1913-1949,Bronze
M,Argentina,,Bronze
M,Argentina,1913-1949,Bronze
M,Argentina,,Bronze
M,Argentina,1972-1989,Bronze
F,Argentina,,Bronze
F,Argentina,,Silver
M,Argentina,1913-1949,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Silver
M,Argentina,,Gold
M,Argentina,1913-1949,Gold
M,Argentina,1913-1949,Gold
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Silver
F,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Bronze
F,Argentina,,Bronze
F,Argentina,,Bronze
F,Argentina,1972-1989,Silver
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Silver
M,Argentina,,Gold
F,Argentina,,Silver
M,Argentina,,Gold
M,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,1950-1972,Bronze
M,Argentina,1950-1972,Silver
M,Argentina,1990-1998,Silver
M,Argentina,1990-1998,Silver
F,Argentina,1913-1949,Silver
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Silver
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Bronze
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1913-1949,Silver
M,Argentina,,Gold
M,Argentina,1972-1989,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
M,Argentina,1913-1949,Bronze
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1972-1989,Bronze
M,Argentina,,Gold
M,Argentina,1913-1949,Gold
M,Argentina,,Gold
M,Argentina,1950-1972,Bronze
M,Argentina,1990-1998,Silver
M,Argentina,1913-1949,Gold
M,Argentina,1972-1989,Bronze
M,Armenia,,Bronze
M,Armenia,,Gold
M,Armenia,,Bronze
M,Armenia,,Silver
M,Armenia,,Bronze
M,Armenia,,Bronze
M,Armenia,,Silver
F,Armenia,,Bronze
M,Armenia,,Silver
M,Armenia,,Bronze
M,Armenia,,Bronze
M,Armenia,,Bronze
M,Armenia,,Silver
M,Armenia,1990-1998,Silver
M,Armenia,1990-1998,Gold
M,Armenia,,Bronze
M,Australasia,Before 1913,Silver
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Silver
M,Australasia,Before 1913,Bronze
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
F,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Bronze
M,Australasia,Before 1913,Bronze
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Silver
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Bronze
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Gold
M,Australasia,Before 1913,Bronze
F,Australasia,Before 1913,Silver
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Gold
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,1950-1972,Bronze
M,Australia,,Silver
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Gold
M,Australia,1972-1989,Bronze
M,Australia,1950-1972,Gold
M,Australia,1990-1998,Bronze
F,Australia,1950-1972,Bronze
F,Australia,1950-1972,Silver
F,Australia,1990-1998,Gold
F,Australia,1990-1998,Gold
F,Australia,,Gold
M,Australia,1990-1998,Gold
M,Australia,1972-1989,Gold
M,Australia,1972-1989,Silver
F,Australia,,Gold
M,Australia,1913-1949,Bronze
M,Australia,,Silver
F,Australia,,Silver
M,Australia,1913-1949,Silver
M,Australia,,Silver
M,Australia,,Silver
F,Australia,,Gold
F,Australia,,Silver
M,Australia,,Silver
F,Australia,,Gold
M,Australia,1950-1972,Bronze
M,Australia,Before 1913,Bronze
M,Australia,Before 1913,Bronze
M,Australia,,Bronze
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Bronze
M,Australia,1972-1989,Bronze
M,Australia,,Gold
M,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1913-1949,Bronze
M,Australia,1913-1949,Silver
M,Australia,1913-1949,Bronze
M,Australia,1913-1949,Silver
F,Australia,,Gold
F,Australia,1950-1972,Silver
M,Australia,,Gold
M,Australia,,Silver
F,Australia,1972-1989,Gold
M,Australia,,Gold
M,Australia,,Silver
M,Australia,1972-1989,Silver
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Silver
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,1950-1972,Bronze
M,Australia,1972-1989,Bronze
M,Australia,1972-1989,Silver
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Bronze
M,Australia,1972-1989,Bronze
M,Australia,1990-1998,Silver
F,Australia,,Silver
M,Australia,,Bronze
M,Australia,1990-1998,Silver
F,Australia,,Bronze
F,Australia,1950-1972,Bronze
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,,Silver
M,Australia,1990-1998,Silver
M,Australia,,Silver
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Bronze
M,Australia,1950-1972,Bronze
F,Australia,,Bronze
F,Australia,1972-1989,Gold
F,Australia,1990-1998,Bronze
F,Australia,,Silver
M,Australia,1950-1972,Bronze
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Gold
F,Australia,,Bronze
F,Australia,1972-1989,Bronze
M,Australia,,Bronze
M,Australia,,Gold
M,Australia,,Gold
M,Australia,1972-1989,Bronze
M,Australia,,Silver
F,Australia,,Gold
F,Australia,,Silver
M,Australia,,Bronze
F,Australia,,Silver
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,1990-1998,Bronze
F,Australia,,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Silver
F,Australia,,Silver
M,Australia,1972-1989,Gold
M,Australia,1972-1989,Silver
M,Australia,1972-1989,Bronze
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,1950-1972,Bronze
M,Australia,,Gold
M,Australia,,Gold
M,Australia,1972-1989,Bronze
F,Australia,1990-1998,Bronze
F,Australia,,Bronze
M,Australia,,Bronze
F,Australia,,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Gold
M,Australia,1972-1989,Silver
M,Australia,1913-1949,Silver
M,Australia,1972-1989,Bronze
M,Australia,1972-1989,Bronze
F,Australia,1972-1989,Gold
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Silver
F,Australia,,Gold
M,Australia,,Silver
M,Australia,,Bronze
M,Australia,,Gold
M,Australia,1950-1972,Silver
M,Australia,,Gold
M,Australia,,Bronze
F,Australia,1950-1972,Gold
M,Australia,1972-1989,Bronze
M,Australia,,Gold
M,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Bronze
F,Australia,,Gold
F,Australia,,Gold
F,Australia,,Silver
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,1972-1989,Gold
F,Australia,1972-1989,Gold
F,Australia,1972-1989,Gold
M,Australia,1990-1998,Silver
F,Australia,,Silver
F,Australia,,Gold
M,Australia,,Bronze
M,Australia,1950-1972,Silver
M,Australia,1990-1998,Bronze
F,Australia,,Gold
F,Australia,,Gold
M,Australia,1950-1972,Bronze
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,1990-1998,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Gold
M,Australia,,Silver
F,Australia,1972-1989,Bronze
M,Australia,1972-1989,Silver
M,Australia,1913-1949,Bronze
M,Australia,1913-1949,Gold
M,Australia,1913-1949,Silver
M,Australia,1913-1949,Silver
M,Australia,1913-1949,Silver
M,Australia,1972-1989,Silver
F,Australia,,Gold
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1913-1949,Silver
M,Australia,,Bronze
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Bronze
M,Australia,,Gold
F,Australia,1972-1989,Gold
M,Australia,1950-1972,Bronze
F,Australia,,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Silver
F,Australia,1950-1972,Silver
M,Australia,,Bronze
F,Australia,,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Silver
M,Australia,1972-1989,Silver
M,Australia,1990-1998,Gold
M,Australia,1950-1972,Gold
F,Australia,1990-1998,Bronze
M,Australia,1990-1998,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Gold
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Silver
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Gold
F,Australia,,Silver
F,Australia,1990-1998,Bronze
M,Australia,1950-1972,Gold
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Silver
M,Australia,,Gold
F,Australia,1950-1972,Gold
F,Australia,,Bronze
M,Australia,1950-1972,Bronze
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Gold
F,Australia,1990-1998,Bronze
M,Australia,,Bronze
F,Australia,,Bronze
M,Australia,1950-1972,Gold
M,Australia,,Silver
F,Australia,,Silver
M,Australia,1950-1972,Bronze
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
F,Australia,,Gold
M,Australia,1972-1989,Silver
F,Australia,,Silver
F,Australia,,Gold
M,Australia,1972-1989,Silver
M,Australia,1950-1972,Gold
F,Australia,1913-1949,Bronze
M,Australia,1990-1998,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Bronze
F,Australia,,Bronze
M,Australia,,Gold
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Silver
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,1972-1989,Silver
F,Australia,1972-1989,Bronze
F,Australia,1990-1998,Silver
F,Australia,1913-1949,Gold
M,Australia,,Silver
F,Australia,,Bronze
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Gold
M,Australia,,Gold
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Bronze
M,Australia,1990-1998,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,1950-1972,Bronze
F,Australia,1990-1998,Gold
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,,Silver
F,Australia,1972-1989,Gold
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,,Silver
M,Australia,1972-1989,Bronze
M,Australia,1990-1998,Gold
M,Australia,,Gold
M,Australia,1950-1972,Silver
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,,Bronze
F,Australia,1990-1998,Bronze
F,Australia,,Bronze
F,Australia,,Silver
M,Australia,,Silver
F,Australia,,Bronze
M,Australia,1972-1989,Bronze
M,Australia,1990-1998,Bronze
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,,Gold
M,Australia,1950-1972,Gold
M,Australia,,Bronze
M,Australia,1990-1998,Silver
M,Australia,1990-1998,Bronze
F,Australia,,Gold
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Gold
F,Australia,,Silver
F,Australia,,Gold
F,Australia,,Gold
F,Australia,,Silver
M,Australia,1990-1998,Silver
M,Australia,1972-1989,Bronze
M,Australia,1972-1989,Gold
M,Australia,1972-1989,Bronze
M,Australia,1972-1989,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Silver
M,Australia,1972-1989,Bronze
M,Australia,1913-1949,Gold
F,Australia,1950-1972,Silver
F,Australia,,Bronze
M,Australia,,Gold
F,Australia,,Bronze
F,Australia,1990-1998,Bronze
F,Australia,,Silver
F,Australia,,Silver
F,Australia,1990-1998,Gold
F,Australia,,Gold
M,Australia,1972-1989,Silver
M,Australia,1950-1972,Silver
M,Australia,,Silver
F,Australia,1990-1998,Silver
F,Australia,,Silver
M,Australia,,Bronze
M,Australia,1913-1949,Gold
M,Australia,,Silver
M,Australia,1950-1972,Bronze
F,Australia,1972-1989,Gold
M,Australia,Before 1913,Gold
M,Australia,Before 1913,Gold
F,Australia,1972-1989,Gold
F,Australia,,Bronze
F,Australia,,Bronze
M,Australia,1950-1972,Gold
M,Australia,1990-1998,Bronze
M,Australia,,Silver
F,Australia,1972-1989,Gold
F,Australia,1972-1989,Bronze
M,Australia,,Bronze
F,Australia,,Bronze
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,1990-1998,Bronze
F,Australia,1972-1989,Bronze
M,Australia,1972-1989,Bronze
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,,Gold
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Gold
F,Australia,,Bronze
M,Australia,,Silver
F,Australia,,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Gold
F,Australia,1990-1998,Silver
F,Australia,,Gold
M,Australia,1950-1972,Silver
M,Australia,,Gold
M,Australia,Before 1913,Silver
M,Australia,Before 1913,Silver
M,Australia,Before 1913,Silver
M,Australia,Before 1913,Bronze
F,Australia,,Gold
F,Australia,,Gold
M,Australia,1990-1998,Bronze
M,Australia,1913-1949,Silver
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Bronze
M,Australia,,Gold
M,Australia,,Bronze
F,Australia,1950-1972,Gold
M,Australia,1990-1998,Bronze
F,Australia,,Bronze
M,Australia,1990-1998,Gold
M,Australia,,Gold
M,Australia,,Gold
M,Australia,,Silver
M,Australia,1950-1972,Silver
M,Australia,,Silver
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Silver
F,Australia,,Bronze
M,Australia,,Bronze
M,Australia,1972-1989,Silver
M,Australia,,Silver
M,Australia,1950-1972,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Silver
M,Australia,1950-1972,Silver
F,Australia,1950-1972,Bronze
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Gold
M,Australia,,Bronze
F,Australia,,Silver
M,Australia,1972-1989,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1913-1949,Bronze
M,Australia,1913-1949,Gold
M,Australia,1990-1998,Gold
M,Australia,1950-1972,Bronze
F,Australia,,Gold
M,Australia,1990-1998,Gold
M,Australia,1990-1998,Gold
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Silver
M,Australia,1972-1989,Gold
F,Australia,1990-1998,Bronze
F,Australia,1972-1989,Bronze
M,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Silver
M,Australia,1950-1972,Silver
F,Australia,,Silver
F,Australia,,Silver
M,Australia,,Bronze
M,Australia,1972-1989,Silver
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Bronze
M,Australia,,Gold
M,Australia,,Gold
M,Australia,,Silver
M,Australia,,Gold
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1950-1972,Silver
M,Australia,1972-1989,Silver
M,Australia,1950-1972,Gold
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,1972-1989,Silver
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Gold
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Bronze
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Bronze
F,Australia,1990-1998,Bronze
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Bronze
M,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,1990-1998,Gold
F,Australia,,Gold
F,Australia,1972-1989,Gold
F,Australia,1990-1998,Gold
F,Australia,,Gold
M,Australia,1990-1998,Gold
M,Australia,1913-1949,Silver
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Silver
M,Australia,,Silver
M,Australia,Before 1913,Bronze
M,Australia,1972-1989,Bronze
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Bronze
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Gold
M,Australia,1913-1949,Silver
F,Australia,,Gold
F,Australia,,Gold
F,Australia,,Gold
M,Australia,,Silver
M,Australia,,Silver
M,Australia,1913-1949,Silver
F,Australia,,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Bronze
M,Australia,,Gold
F,Australia,,Gold
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Bronze
F,Australia,,Silver
F,Australia,1972-1989,Gold
M,Australia,1950-1972,Bronze
F,Australia,,Silver
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1972-1989,Bronze
F,Australia,1990-1998,Bronze
M,Australia,,Bronze
M,Australia,1972-1989,Silver
M,Australia,1990-1998,Bronze
M,Australia,,Gold
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Silver
M,Australia,,Gold
M,Australia,1990-1998,Silver
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Gold
M,Australia,1990-1998,Gold
M,Australia,,Silver
M,Australia,,Gold
F,Australia,1990-1998,Bronze
F,Australia,,Gold
M,Australia,,Bronze
M,Australia,,Silver
F,Australia,,Gold
F,Australia,,Bronze
F,Australia,,Gold
M,Australia,1972-1989,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,1950-1972,Gold
F,Australia,1950-1972,Gold
M,Australia,,Silver
F,Australia,,Bronze
M,Australia,,Gold
M,Australia,,Silver
F,Australia,1990-1998,Bronze
F,Australia,,Silver
F,Australia,1950-1972,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Bronze
F,Australia,,Silver
F,Australia,,Gold
F,Australia,,Gold
F,Australia,,Silver
F,Australia,,Gold
F,Australia,,Silver
F,Australia,,Silver
F,Australia,,Silver
F,Australia,1990-1998,Bronze
M,Australia,1972-1989,Silver
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,,Bronze
M,Australia,1972-1989,Bronze
M,Australia,1990-1998,Silver
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,1990-1998,Silver
M,Australia,1972-1989,Bronze
M,Australia,1972-1989,Bronze
M,Australia,1972-1989,Gold
M,Australia,1972-1989,Bronze
M,Australia,1990-1998,Bronze
F,Australia,1950-1972,Bronze
F,Australia,1950-1972,Silver
M,Australia,,Silver
F,Australia,1913-1949,Silver
M,Australia,,Gold
M,Australia,,Silver
M,Australia,,Gold
M,Australia,1913-1949,Silver
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Bronze
M,Australia,,Gold
M,Australia,,Gold
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Silver
M,Australia,,Gold
M,Australia,,Bronze
M,Australia,,Bronze
F,Australia,,Bronze
F,Australia,,Bronze
F,Australia,,Bronze
F,Australia,1950-1972,Silver
F,Australia,1950-1972,Silver
M,Australia,1950-1972,Bronze
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Bronze
M,Australia,1990-1998,Silver
M,Australia,,Gold
F,Australia,,Gold
F,Australia,,Silver
M,Australia,,Bronze
F,Australia,1950-1972,Bronze
M,Australia,,Gold
F,Australia,1972-1989,Silver
M,Australia,1990-1998,Silver
M,Australia,1950-1972,Bronze
M,Australia,Before 1913,Gold
M,Australia,Before 1913,Gold
M,Australia,,Silver
M,Australia,,Bronze
F,Australia,,Bronze
F,Australia,1950-1972,Silver
M,Australia,,Bronze
M,Australia,,Bronze
M,Australia,,Silver
M,Australia,1950-1972,Silver
M,Australia,1950-1972,Gold
M,Australia,1950-1972,Bronze
